,username,date,content
113,mdptyo,2021-06-09 14:59:26+00:00,"@HerrySis Penyebab mcd tutup tadi siang, seluruh stok #btsmeal dialihkan ke rumahnya"
114,Windy_a29,2021-06-09 14:48:26+00:00,"Bts meal in indonesian.. yeayyy..

#BTSMeal https://t.co/pHf6TSBMqt"
115,wakwawban,2021-06-09 14:36:41+00:00,"Foto via WAG #bogrades.id 
#BTSMeal Abis itu ada Happy Meal BT21 ga sih atau BangtanTiny? https://t.co/oYHeHvsHkQ"
116,intanfauziyanti,2021-06-09 14:33:05+00:00,#BTSMeal #BTSxMcD 😊😊 https://t.co/HqPHfg3aH2
117,Titastrid,2021-06-09 14:30:54+00:00,😍😍 #BTSMeal https://t.co/t1yVlLuIl7
118,Bufffire08,2021-06-09 14:30:43+00:00,"At least, I used to be the real ARMY today..
@BTS_twt
@bts_bighit
#BTSxMcD
#BTSMeal https://t.co/RZpXPd6k3S"
119,GangstaGojek,2021-06-09 14:21:43+00:00,"Efek #BTSMeal #BTSxMcD antusiasmenya luar biasa nunggu 3.5 jam di @McDonalds_ID Plasa Cibubur. 
Biasanya beres jam 5 sore. Hari ini beres malem.
Terima kasih untuk para fans BTS. 
Sudah mau sabar dan tipnya luar biasa 🥰🥰🥰 https://t.co/l2uEmXSQHB"
120,GojekOnly,2021-06-09 14:08:55+00:00,"@ryan_nus #BTSARMY yang tau resto terdekatnya sudah close karena bludaknya antrian bahkan rela mencari resto yang jauh dari rumahnya demi #BTSMeal

Salute buat army 

*Angkathelm

#SalamSatuArmy https://t.co/CUXUoPbnKq"
121,radjaranan13,2021-06-09 13:50:41+00:00,#BTSMeal versi karyawan #McDonaldsXBTS https://t.co/cHPsfqIoDp
122,fauzahra,2021-06-09 13:49:33+00:00,My brunch today. I’m lovin’ it @BTS_twt @bts_bighit #BTSMeal 💜 https://t.co/wDugiqWbpd
123,GorideOptimus,2021-06-09 13:46:24+00:00,"Rejeki nih setelah antri berjam - jam, semoga sistem di perbaiki oleh restonya @McDonalds_ID agr tindak timbul kerumunan. Agar tidak ada lagi Gerai yg di segel &amp; di kena denda 50 juta. 
#BTSMeal https://t.co/A3m5gFzMCg"
124,IsaR____,2021-06-09 13:46:18+00:00,"@ryan_nus suka duka......

#BTSMeal https://t.co/U9rg9qxVIE"
125,MainesPanjaitan,2021-06-09 13:33:30+00:00,"@tresnomasjimin Siapp,. Besok beli dulu #BTSxMcD #BTSMeal nya deh 😂 makasih ya kak inspirasinya, izin ikutan idenya, smart banget soalnya kasih nominal 50k jg, sukses terus ya kak !"
126,kathrinesiahaan,2021-06-09 13:31:14+00:00,"Dibawain #BTSMeal sama suaminya @marjulshe makasih adek ipar dan adeku,, akhirnya besok aku ga di pusingin sm Abel hleen minta beli makanan ini 😂😂 https://t.co/qm8JZh0txf"
127,heraariani,2021-06-09 13:24:51+00:00,Siang tadi pergi ke salon. Naik ojol. Di jl Pahlawan Revolusi lihat abang2 ojol memenuhi McD sampai tumpah ke jalan. Gw pikir ada demo. Tp kok demo di dpn McD. Pas nyampe salon br tau klo org2 pd rebutan #BTSMeal Halah ra penting..
128,yaNotz,2021-06-09 13:00:15+00:00,#BTSxMcD #BTSMeal https://t.co/naFYHKBZY4
129,veautifulpurple,2021-06-09 12:54:17+00:00,Gedeg bgt gw sampe gak bisa ngehype #BTSMeal #BTSxMcD
130,my_savira,2021-06-09 12:46:53+00:00,Ak mau ikutan beli #BTSMeal https://t.co/m9IBoQ9uX3
